Score Lunch Computer Expenditure Income English STratio
1312.24 74.85 259 5267.83 14.47 25.23 18.98
1320.84 33.06 8 5238.39 14.65 5.38 17.67
1287.85 85.54 37 5462.9 10.63 6.08 17.75
1308.55 66.26 32 6313.37 9.78 0 15.27
1311.35 68.82 31 6653.03 10.66 0 14
1294.36 72.86 897 5533.15 11.94 34.89 20.6
1276.43 93.63 8 6118.71 7.39 13.06 16.31
1285.63 72.32 445 5098.63 10.68 36.03 21.13
1246.3 73.6 112 5652.88 9.97 34.65 17.49
1247.71 75.74 36 5329 8.26 28.69 17.89
1316.51 62.21 277 5929.81 8.9 1.8 19.31
1268.05 80.87 178 4897.07 12.06 30.63 20.89
1256.28 83.87 1015 5100.2 9.43 59.03 21.29
1281.23 68.57 1261 4825.72 8.92 13.56 20.2
1322.45 80.92 35 4079.13 10.1 5.01 24.95
1330.62 46.04 27 5349.37 11.83 0.96 18.13
1289.79 72.19 55 5869.39 11.55 0.67 20
1311.21 67.71 50 6462.13 19.71 38.51 18.73
1265.24 54.11 34 6231.6 7.11 0 18.25
1317.98 66.95 71 4993.87 13.73 17.17 18.99
1277.54 59.72 28 4663.81 10.1 9.89 19.89
1297.32 64.75 315 6107.11 13.76 19.39 19.38
1281.34 65.8 717 5324.23 9.66 36.49 20.46
1261.04 83 70 5221.46 10.26 39.4 22.29
1283.2 59.72 383 5157.78 11.57 28.68 20.7
1236.34 66.44 28 5131.12 7.41 13.7 19.06
1301.22 65.38 134 5279.35 12.08 11.35 20.23
1294.05 56.07 144 4704.04 11.28 3.44 19.69
1266.33 60.13 26 6089.91 10.03 15.43 20.36
1260.14 63.91 597 5356.83 8.38 17.97 19.75
1327.66 37.05 313 5144.55 13.63 22.72 19.38
1300.22 51.24 1182 4906.23 14.13 18.44 22.92
1323.3 74.27 560 5489.59 11.27 16.17 19.37
1303.36 64.1 397 5718.55 13.39 2.02 19.16
1304.79 64.79 87 4436.15 11.94 9.62 21.3
1253.03 80.98 24 4895.44 8.26 41.46 18.3
1328.79 56.3 1321 5159.22 14.23 9.9 21.08
1282.52 68.09 98 5490.65 10.47 16.08 18.79
1306.24 71.02 499 5172.02 14.24 43.49 19.63
1307.1 69.62 30 4441.67 14.07 8.79 19.59
1315.11 52.97 281 5220.37 15.97 39.02 20.87
1264.72 71.76 1338 5252.81 10.26 53.89 21.12
1309.94 70.81 1435 5518.7 10.6 41.13 20.08
1309.13 75.5 222 5609.49 10.52 1.38 19.91
1298.96 82.07 96 4945.03 11.24 35.44 17.81
1292.63 74.86 145 5223.03 10.06 8.64 18.13
1249.32 54.65 283 4757.03 11.18 15.35 19.22
1253.85 63.43 50 5522.16 7.39 19.86 18.66
1325.28 47.15 40 6087.61 13.58 3.06 19.6
1295.79 53.21 92 4960.52 9.63 9.87 19.28
1276.46 44.26 165 4880.04 15.27 16.1 22.82
1286.23 80.26 65 6538.42 14.03 43.5 18.81
1239.07 82.57 680 4925.66 10.24 45.04 21.37
1264.92 67.75 170 5204.69 9.48 18.2 20.02
1321.53 44.48 658 4907.41 15.03 15.49 21.5
1315 48.88 47 5923.45 9.78 0.93 15.43
1321.46 58.04 31 4741.96 13.19 7.59 22.4
1317.27 57.07 1004 4954.02 12.22 29.09 20.13
1334.57 34.08 0 5500.11 14.08 0.13 19.04
1335.83 39.04 1719 5360.52 25.49 50.86 17.34
1317.19 31.39 35 5685.64 14.87 11.5 17.02
1290.45 49.52 19 5594.2 9.97 13.46 20.8
1298.41 45.82 4 4692.57 14.58 4.73 21.15
1272.79 69.98 52 5085.41 7.39 21.44 18.46
1313.74 58.55 1268 5456.2 12.34 12.35 19.14
1320.39 56.68 36 5105.18 12.43 30.15 19.41
1327.77 59.03 25 5519.68 14.91 15.86 19.57
1280.7 71.91 1333 5065.91 12.67 43.75 21.5
1288.48 59.06 30 5182.43 10.33 0 17.53
1278.22 52.17 48 5960.46 11.97 0 16.43
1302.45 65.92 601 5124.84 12.83 16.65 19.8
1309.58 70.66 71 5655.13 10.04 3.22 17.19
1325.04 72.14 25 5811.69 13.34 0 17.62
1274.03 47.03 116 5467.67 9.85 48.52 20.13
1267.41 35.82 0 5213.09 11.43 0.75 22.17
1313.23 37.96 65 4613.19 15.13 1.93 19.96
1329.88 40.62 30 4886.98 14.58 13.51 19.04
1290.84 76.28 36 6455.14 10.27 0 15.22
1334.24 55.79 471 5125.43 15.59 16.71 21.14
1268.29 40.56 167 5193.69 11.24 5.94 19.64
1329.18 55.09 316 5002.84 15.05 36.17 21.05
1295.9 62.5 1218 5337.63 15.41 44.97 20.18
1280.6 43.9 38 5161.2 11.08 16.67 21.39
1284.7 68.86 800 5158.79 10.1 15.19 20.01
1312.45 45.99 2889 5123.47 14.3 34.34 20.29
1335.88 59.54 27 5782.54 11.8 0 17.67
1296.62 32.19 50 4842.61 9.97 13.07 18.22
1327.51 7.49 46 4219.41 15.41 4.28 20.27
1323.2 58.53 2001 5081.17 15.29 39.59 20.2
1342.41 32.48 1058 5144.99 15.53 21.67 21.38
1347.81 35.76 60 4674.3 16.29 3.26 20.97
1310.84 39.29 40 4830.33 12.88 7.86 20
1237.29 67.23 51 5621.69 16.62 39.57 17.15
1292.72 51.57 1295 4948.87 12.55 10.13 22.35
1302.17 52.12 354 5100.98 14.26 27.52 22.17
1302.68 23.23 16 5132.79 18.33 14 18.18
1266.72 51.77 606 5358.52 12.75 8.84 18.96
1287.63 52.25 345 5149.19 11.43 6.41 19.75
1290.37 54.76 163 5373.21 8.83 2.4 16.43
1289.14 89.7 48 6485.17 11.18 5.96 16.63
1312.47 59.13 59 5504.03 14.23 8.17 16.38
1301.64 29.78 789 5105.73 15.03 15.46 20.07
1296.81 54.99 61 5634.73 10.52 0 18
1381.13 17.54 60 4980.29 18.63 0 19.39
1378.78 0 22 6113.86 22.53 0 16.43
1339.23 55.1 500 5850 18.3 31.82 16.73
1300.86 32.37 226 4547.94 11.89 12.8 24.41
1322.25 51.65 32 5011.84 9.93 0 18.26
1316.61 50.76 75 5261.37 14.2 3.85 18.96
1311.19 58.2 50 4276.12 9.63 2.47 21.04
1306.19 45.71 25 4566.27 10.64 10.71 20.74
1301.3 66.85 26 6049.5 14.48 0 18.1
1321.46 24.81 65 4974.28 13.47 1.94 19.85
1297.53 32.11 25 4432.48 9.66 4.63 21.6
1272.73 50 58 4924.62 12.71 5.25 22.44
1315.59 40.4 1099 4603.66 17.82 27.54 23.01
1354.5 31.03 65 5973.93 17.16 14.98 17.75
1350.32 47.7 634 5215.94 19.59 47.88 18.29
1298.09 46.05 134 4882.24 14.2 0 19.27
1294.7 32.35 41 4145.84 11.91 1.76 22.67
1299.69 65.85 36 7542.04 13.39 0 19.29
1299.66 59.21 75 5247.02 11.55 0 17.36
1317.55 25.31 250 5169.81 19.03 7.29 19.82
1331.53 36.45 213 5951.01 16.41 17.03 20.43
1310.05 29.2 409 4746.57 14.06 10.44 21.04
1332.46 30.77 49 4944.09 19.07 2.27 19.92
1314.9 38.2 254 6306.49 20.77 28.25 19.01
1314.87 28.17 35 4260.31 10.26 8.77 23.82
1338.06 28.66 36 4718.16 14.58 7.49 19.37
1311.82 53.6 56 4751.3 10.2 9.8 19.83
1311.19 63.69 30 5653.45 12.5 12.5 15.26
1296.75 29.64 81 5920.25 13.91 0 17.16
1253.15 76.77 374 4825.59 9.99 31.2 21.81
1324.36 40.93 268 5532.58 13.71 1.37 19.07
1314.83 47.85 7 3926.07 10.1 9.62 25.79
1278.5 62.27 164 5805.64 11.29 0 18.21
1297.29 41.05 500 4899.24 13.23 24.26 18.17
1304.17 10.13 19 4884.86 13.63 9.55 16.97
1358.26 25.89 618 5139.94 14.62 5.93 21.5
1276.92 23.3 13 5249.36 8.78 0.97 20.6
1328.52 70.29 17 5399.07 10.34 18.29 16.99
1317.36 23.44 241 4965.29 16.32 4.98 20.78
1298.49 56.52 67 6210.32 10.66 4.29 15.51
1320.6 12.57 96 4797.5 14.58 3.35 19.89
1339.94 21.34 1120 5397.16 18.63 32.71 21.4
1294.55 60.92 72 5078.5 11.12 9.47 20.5
1333.29 36.89 624 4733.75 14.6 6.26 19.36
1345.34 34.04 73 4963.06 15.49 13.25 17.66
1342.47 34.45 192 5431.18 16.27 3.17 21.02
1305.37 36.64 60 5382.09 13.63 16.99 19.06
1304.78 37.88 78 5724.44 12.39 0.85 22.54
1309.68 34.23 626 4843.43 15.33 6.65 21.11
1307.6 40.16 118 5730.35 12.67 0.12 20.05
1329.5 20 20 5635.79 13.71 0 14.2
1336.08 19.57 155 5671.66 17.78 6.93 18.48
1314.17 56.01 435 7070.63 10.56 9.56 18.64
1293.86 61.42 50 5097.34 10.52 0.9 20.95
1278.57 39.85 148 5482.68 13.24 1.16 21.09
1322.56 49.43 419 5642.83 22.47 40.11 18.69
1327.87 50.97 2401 5280.02 15.68 16.66 20.87
1327.71 32.14 1158 5433.34 23.48 21.96 19.83
1283.86 25.32 34 4529.28 11.65 8.86 19.75
1319.64 36.13 42 6039.99 16.36 0.85 19.5
1313.95 36.78 37 6168.23 14.07 0 18.39
1284.19 51.85 30 5774.97 13.44 3.91 18.79
1330.15 25.56 296 4806.76 18.34 11.95 19.77
1294.04 51.56 46 4840.94 11.43 3.99 19.33
1353.16 37.29 474 4954.47 15.75 22.94 21.46
1344.83 17.15 622 4023.53 15.78 2.49 23.08
1337.71 32.65 122 5179.41 14.06 9.87 21.06
1341.85 36.31 56 4385.23 12.17 0.54 18.69
1306.56 26.94 328 4777.51 12.9 8.96 20.77
1289.06 29.5 32 4862.79 10.97 6.47 19.31
1334.84 32.77 1507 5486.03 17.44 20.73 20.13
1333.67 36.8 129 5486.38 14.76 0.19 20.67
1292.59 31.37 224 4631.24 14.6 13.99 22.28
1315.07 37.11 141 5189.63 13.52 8.74 20.6
1315.13 31.5 60 4600.61 16.67 20.03 20.83
1315.43 33.63 140 6735.78 13.52 1.38 19.22
1293.96 47.12 107 5475.17 12.52 2.06 17.65
1329.67 33.6 23 5990.79 18.33 28.57 17
1292.74 30.68 78 7203.25 11.47 0.17 16.5
1306.65 54.76 60 4777.77 10.1 13.74 19.78
1326.71 21.27 51 4302.83 15.36 0 22.3
1307.13 48.81 150 5630.19 10.31 0.22 17.73
1335.63 22.69 496 4708.62 16.99 3.12 20.45
1281.59 66.21 62 5629.96 9.61 47.37 20.37
1357.17 15.66 302 4890.99 21.11 22.71 20.16
1328.08 30.44 1790 4929.39 16.47 29.12 21.62
1333.19 21.38 46 4905.22 18.37 4.43 20.56
1354.08 31.02 1671 5156.86 16.65 4.81 19.96
1346.07 18.39 529 4941.79 18.54 5.25 21.18
1339.79 42.45 70 5408.78 14.18 1.9 18.81
1311.68 30.07 489 4981.39 18.03 8.66 20.58
1328.09 0 16 4877.09 13.59 10.48 18.32
1320.17 42.6 125 5111.74 12.64 1.24 18.82
1325.97 45.88 95 5201.52 11.1 0 20.82
1261.88 56.88 39 4138.31 7.5 9.38 20
1340.86 25.1 50 5743.6 15.51 1.39 19.68
1349.94 44.39 411 5702.71 22.84 35.34 19.39
1369.26 27.35 576 4802.15 19.82 9.64 20.93
1335.11 24.72 100 5442.14 16.35 2.23 19.94
1390.21 14.85 335 4522.38 16.29 0.37 20.79
1329.18 29.84 78 4965.81 13.25 0.58 19.2
1342.05 37.09 60 5358.33 14.01 0 19.02
1338.76 25.61 105 5784.62 14.16 0.85 17.62
1319.62 20.93 143 5072.7 15.77 5.52 20.24
1325.31 35.85 190 5556.04 14.48 0 19.29
1339.78 26.21 58 5190.31 14.21 0 18.83
1313.59 36.48 263 5211.49 15.17 2.44 20.34
1293.36 43.22 113 5284.16 12.58 20.77 19.23
1273.49 55.29 127 5331.92 10.55 2.19 17.89
1338.62 13.37 258 5599.61 16.96 13.63 19.52
1339.39 25.43 81 4881.9 17.71 13.28 19.08
1339.64 32.69 85 4700.43 16.27 1.94 19.94
1334.42 33.81 308 5650 17.9 23.06 18.87
1291.79 47.31 114 5318.24 11.83 0.62 20.14
1355.97 15.93 814 4709.05 18.62 3.26 23.56
1317.87 30.37 54 5143.19 12.43 0 21.46
1349.35 29.04 206 5133.01 15.17 2.22 19.19
1352.27 30.64 1113 5081.46 20.88 18.56 20.13
1302.35 50.39 10 4016.42 10.64 6.2 25.8
1373.38 28.38 1150 5374.05 25.03 18.46 18.78
1343.74 31.08 494 5427.55 16.76 32.07 19.11
1322.55 30.17 114 5179.64 15.3 3.97 19.7
1347.59 24.75 326 5400 17.37 15.34 18.62
1335.13 36 756 5726.15 22.1 27.67 21
1361.4 13.87 47 5003.87 22.84 12.54 20
1353.57 45.72 1962 4969.51 18.32 12.68 20.98
1372.32 15.09 706 4747.3 25.03 6.91 21.64
1341.19 31.85 87 4543.31 21.96 14.96 20.03
1344.04 24.6 193 5229.59 18.8 11.27 19.81
1285.09 44.44 14 4507.35 10.64 9.72 18
1324.26 15.21 48 5302.63 17.51 3.32 19.36
1320.17 18.49 82 5545.61 18.59 0.69 20.18
1323.28 22.88 160 4615.91 11.12 5.14 21.12
1332.42 22.98 0 5397.69 14.1 4.97 23.39
1337.3 40.16 15 5118.37 12.64 6.97 22.18
1339.14 13.28 785 5008.07 20.94 8 19.94
1287.84 32.61 95 4906.03 14.18 0.48 17.79
1318.46 53.5 38 6870.35 11.83 2.5 14.71
1329.15 20.58 220 5301.72 18.67 3.84 19.04
1308.16 16.07 307 5182.37 17.33 1.32 20.89
1358.91 19.83 65 4999.47 17.51 4.91 19.84
1371.93 13.06 30 6732.07 15.57 0 19.52
1336.45 8.67 259 4612.99 15.57 0.22 20.69
1330.03 29.86 65 5478.85 15.75 0 18.18
1331.96 23.64 637 5666.71 20.47 17.85 18.89
1288 35.27 15 4742.51 9.71 4.46 24.89
1304.25 28.12 92 4907.39 11.12 9.55 18.58
1320.23 11.75 75 5700.4 16.32 3.99 18.04
1330.73 24.34 145 5191.83 21.97 20.67 17.73
1305.99 51.67 10 4451.26 8.93 7.63 21.45
1317.79 42.96 0 5627.53 20 27.45 19.92
1349.49 19.37 586 4922.94 18.83 10.86 20.34
1294.84 16.95 379 4969.38 18.12 5.03 22.55
1354.3 30.09 540 4829.72 23.67 14.24 21.1
1325.11 15.33 39 6716.69 22.14 0.24 18.2
1331.36 23.1 615 5205.94 20.55 2.07 20.11
1284.91 44.68 37 4357.83 9.48 8.56 19.16
1342.39 27.13 17 5195.92 11.83 0 19.55
1352.9 36.7 41 6002.07 18.8 4.79 20.89
1265.33 46.12 116 5090.59 10.55 3.96 18.39
1332.2 19.53 249 5112.39 15.52 1.58 19.18
1367.74 12.17 753 5287.35 21.63 3.59 19.4
1343.56 15.51 930 4889.48 21.1 8.73 21.68
1302.32 19.01 122 5118.13 15.17 0 19.29
1348.2 8.34 934 5119.12 19.12 0.26 20.35
1344.72 14.27 855 4792.21 17.62 1.45 20.96
1324.05 15.93 47 5450.1 15.17 0.15 19.46
1285.6 33.92 23 5210.72 10.64 0 19.29
1369.82 11.7 834 4715.45 20.74 3.71 20.92
1364.16 21.09 231 4632.07 21.57 0.27 20.9
1341.9 10.41 183 5028.56 17.66 0 20.6
1334.72 12.26 32 5695.47 17.71 4.52 19.38
1395.99 2.03 343 4504.29 27.82 2.44 19.95
1332.57 29.02 103 5156.44 18.59 0 18.85
1336.44 33.92 135 5433.51 14.26 0 18.12
1382.54 25.99 42 5254.63 22.76 5.41 19.18
1331.48 12.75 24 4593.2 12.64 0 22
1293.28 25.11 49 4320.68 11.24 6.42 21.58
1330.39 12.82 117 4920.78 16.96 6.54 20.39
1345.79 32.12 50 6905.87 17.71 14.29 16.29
1371.81 2.45 482 5729.9 25.62 3.68 18.28
1338.52 11.18 290 4825.2 18.73 0.5 19.37
1336.53 32.86 21 5388.17 13.44 0 18.91
1362.49 22.16 29 5133.83 15.18 22.69 16.41
1361.97 0 27 5346.16 19.12 0 15.59
1314.89 23.05 103 4789.31 13.71 0.14 18.71
1336.71 15.75 105 5329.78 17.51 2.73 18.33
1313.8 25.38 75 5371.17 11.83 1.68 17.9
1275.73 66.91 40 5771.38 13.27 0 18.91
1301.6 14.04 318 4993.63 16.36 0.14 20.32
1338.89 11.04 42 4854.04 18.63 0 20.02
1371.28 27.71 50 4392.68 23.73 11.05 24
1305.65 48.48 50 5884.43 12.93 0 17.61
1312.69 4.04 70 4273.99 13.91 0 19.35
1329.41 21.78 165 5146.78 15.43 0.06 19.68
1358.07 10.18 49 5351.52 15.38 0 18.73
1336.41 0 14 7667.57 22.53 0 15.88
1356.26 19.09 701 5281.71 23.81 15.06 20.05
1379.14 3.73 223 5368.5 24.6 1.48 17.99
1410.26 8.61 31 6429.26 36.17 2.65 16.97
1405.64 6.54 310 5387.46 33.46 1.48 19.24
1337.46 19.23 300 5235.77 20.48 4.47 19.2
1327.02 0 141 4829.9 20.13 0.33 19.6
1328.91 10.65 216 5088.71 19.35 2.54 20.54
1409.87 0.68 220 5390.12 36.17 0.54 18.59
1381.36 12.94 35 6588.43 22.86 11.59 15.6
1336.15 11.46 29 6196.69 17.71 11.38 15.29
1298.07 14.4 25 4645.41 14.18 0 17.66
1408.3 0.54 113 6489.93 41.09 1.37 17.58
1327.68 3.73 27 5094.96 21.96 2.24 22.33
1346.34 29.32 55 4841.96 16.06 5.33 18.75
1366.72 3.62 283 6315.31 25.74 2.77 18.1
1364.5 16.25 15 5399.38 20.47 0 20.26
1378.68 6.27 439 5429.47 35.81 17.73 18.8
1287.88 11.41 33 5644.29 13.57 0 18.77
1344.51 9.35 44 6060.26 20.09 0 20.41
1343.51 5.93 30 5319.55 18.28 0.43 18.65
1363.42 7.86 406 4819.9 25.24 6.07 20.71
1355.49 12.5 0 5208.23 25.06 10.13 22
1353.71 1.9 155 5859.96 30.63 3.38 17.7
1372.53 4.69 2232 4962.74 27.48 8.65 21.48
1328 20.48 21 7614.38 30.84 12.35 16.7
1379.83 2.79 540 5566.47 34.16 1.59 19.58
1437.7 0.72 84 7039.95 43.23 1.5 17.26
1397.65 9.68 404 6604.06 27.95 10.39 17.38
1401.85 3.92 265 6180.15 49.94 6.13 17.35
1388.1 1.42 272 6460.66 55.33 2.27 16.26
1381.93 2.44 403 6415.35 35.48 2.48 17.7
1375.06 0.17 496 5230.88 34.3 0.89 20.13
1436.84 2.61 300 5838.17 38.63 2.42 18.27
1409.25 0 112 7711.51 35.34 3.77 14.54
1358.77 0.3 241 5592.77 31.05 1.96 19.15
1419.39 0.12 466 5933.15 40.26 0.58 17.37
1432.14 0 412 7593.41 35.81 2.81 15.14
1398.39 0 22 6500.45 43.23 1.36 17.84
1415.18 0 209 7217.26 50.68 1.16 15.41
1418 0.6 286 5392.64 40.4 2.05 18.87
1385.71 3.56 195 7290.34 28.72 6 16.47
1410.04 1.5 721 5741.46 41.73 4.73 17.86
1341.88 37.19 45 4402.83 23.73 24.26 21.89
1308.76 59.41 14 4776.34 9.95 2.97 20.2
1275.23 47.57 313 5993.39 12.5 5.01 19.04
